"Organization","Recommendation","Work.experience","GPA","Achievement","Student.id","confidence(y)","confidence(n)","prediction(Status)"
1.0,1.0,0.0,0.21428571428571475,0.0,8001,0.0,1.0,"n"
1.0,0.0,1.0,0.15714285714285756,0.2,8002,0.0,1.0,"n"
1.0,1.0,0.0,0.6428571428571429,0.2,8003,1.0,0.0,"y"
1.0,1.0,0.0,0.9571428571428574,0.4,8004,1.0,0.0,"y"
0.0,1.0,0.0,0.7428571428571427,0.8,8005,1.0,0.0,"y"
1.0,0.0,1.0,0.4571428571428574,0.0,8006,0.0,1.0,"n"
0.0,0.0,0.0,0.48571428571428604,0.0,8007,0.0,1.0,"n"
0.0,1.0,0.0,0.6000000000000004,0.6,8008,1.0,0.0,"y"
0.0,0.0,1.0,0.2285714285714287,0.0,8009,0.0,1.0,"n"
0.0,1.0,1.0,0.5142857142857146,0.4,8010,1.0,0.0,"y"
1.0,0.0,1.0,0.35714285714285704,0.0,8011,0.0,1.0,"n"
1.0,0.0,1.0,0.2285714285714287,0.0,8012,0.0,1.0,"n"
0.0,1.0,0.0,0.9000000000000002,0.8,8013,1.0,0.0,"y"
0.0,1.0,1.0,0.6000000000000004,1.0,8014,1.0,0.0,"y"
1.0,0.0,0.0,0.12857142857142898,0.0,8015,0.0,1.0,"n"
0.0,0.0,0.0,0.14285714285714296,0.2,8016,0.0,1.0,"n"
0.0,1.0,0.0,0.9428571428571428,1.0,8017,1.0,0.0,"y"
1.0,0.0,0.0,0.07142857142857179,0.2,8018,0.0,1.0,"n"
0.0,1.0,1.0,1.0,0.4,8019,1.0,0.0,"y"
1.0,0.0,0.0,0.2571428571428573,0.2,8020,0.0,1.0,"n"
1.0,0.0,1.0,0.17142857142857154,0.2,8021,0.0,1.0,"n"
1.0,0.0,0.0,0.2714285714285719,0.2,8022,0.0,1.0,"n"
1.0,1.0,0.0,0.0,0.2,8023,0.0,1.0,"n"
0.0,1.0,1.0,0.5714285714285718,0.8,8024,1.0,0.0,"y"
1.0,0.0,1.0,0.07142857142857179,0.0,8025,0.0,1.0,"n"
0.0,0.0,1.0,0.2999999999999999,0.0,8026,0.0,1.0,"n"
1.0,0.0,1.0,0.21428571428571475,0.2,8027,0.0,1.0,"n"
0.0,0.0,1.0,0.3428571428571431,0.0,8028,0.0,1.0,"n"
1.0,1.0,0.0,1.0,0.2,8029,1.0,0.0,"y"
1.0,1.0,0.0,0.9428571428571428,0.2,8030,1.0,0.0,"y"
0.0,0.0,1.0,0.2714285714285719,0.2,8031,0.0,1.0,"n"
0.0,1.0,1.0,0.7428571428571427,1.0,8032,1.0,0.0,"y"
0.0,0.0,1.0,0.48571428571428604,0.2,8033,0.0,1.0,"n"
0.0,0.0,0.0,0.3428571428571431,0.2,8034,0.0,1.0,"n"
0.0,1.0,1.0,0.8571428571428571,0.8,8035,1.0,0.0,"y"
0.0,0.0,1.0,0.2714285714285719,0.0,8036,0.0,1.0,"n"
1.0,1.0,1.0,0.9000000000000002,0.4,8037,1.0,0.0,"y"
1.0,1.0,0.0,0.7571428571428573,0.4,8038,1.0,0.0,"y"
1.0,0.0,1.0,0.057142857142857176,0.0,8039,0.0,1.0,"n"
1.0,0.0,0.0,0.2285714285714287,0.2,8040,0.0,1.0,"n"
0.0,1.0,1.0,0.5571428571428572,0.6,8041,1.0,0.0,"y"
0.0,1.0,0.0,0.8571428571428571,1.0,8042,1.0,0.0,"y"
1.0,1.0,1.0,0.7000000000000002,0.8,8043,1.0,0.0,"y"
1.0,1.0,0.0,0.3428571428571431,0.0,8044,0.0,1.0,"n"
1.0,1.0,1.0,0.20000000000000012,0.0,8045,0.0,1.0,"n"
1.0,1.0,0.0,0.18571428571428614,0.2,8046,0.0,1.0,"n"
1.0,1.0,1.0,0.8571428571428571,0.2,8047,1.0,0.0,"y"
0.0,1.0,0.0,0.6000000000000004,0.2,8048,1.0,0.0,"y"
0.0,1.0,0.0,0.32857142857142846,0.0,8049,0.0,1.0,"n"
0.0,1.0,1.0,0.5428571428571431,0.2,8050,1.0,0.0,"y"
1.0,0.0,1.0,0.15714285714285756,0.2,8051,0.0,1.0,"n"
1.0,1.0,1.0,0.6857142857142855,0.6,8052,1.0,0.0,"y"
1.0,1.0,1.0,0.5714285714285718,0.4,8053,1.0,0.0,"y"
0.0,1.0,1.0,0.15714285714285756,0.2,8054,0.0,1.0,"n"
1.0,0.0,0.0,0.40000000000000024,0.0,8055,0.0,1.0,"n"
1.0,1.0,1.0,0.7428571428571427,1.0,8056,1.0,0.0,"y"
0.0,0.0,0.0,0.5,0.2,8057,0.0,1.0,"n"
0.0,0.0,0.0,0.2857142857142859,0.0,8058,0.0,1.0,"n"
0.0,0.0,0.0,0.2714285714285719,0.0,8059,0.0,1.0,"n"
0.0,1.0,0.0,0.5285714285714286,0.6,8060,1.0,0.0,"y"
